Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-02-21,149886400,26922500,41486000,23200800,892292000,2043500,4976500,27527500,40195800,28499200,28156000,6536500,14895600,16464300,31618700,4054600,6956900,946800,1160800,1922400,564783,4192000,126088000,48294000,1747200,4501900,7851000,10029700,6647900,4479000,8260400,1777200,462100,7984000,93711000,4488760,17432100,1999800,8109200,1536300,15183730,2973800,878300,4723000,3570400,20768948,1260600,1321000,10019700,349400
2018-02-22,123967600,24392800,28010000,18464200,534364000,1541500,4763400,16946400,37886300,25887600,19342000,4036500,11722300,14924600,24359600,3868200,8382200,841600,1654800,2484700,462703,2852400,97162000,104547000,1360100,5394700,10172400,8485300,5972000,4414800,6632300,1733400,755200,8475500,88915000,2462403,15483000,1414800,4811600,1181700,20060560,3066000,601100,3439900,2639100,11335591,1142600,1383300,9426600,548600
2018-02-23,135249600,26329200,25292000,19007300,415300000,2349300,4173500,26040900,33317600,25781400,18280000,4936900,6762200,13532400,48476700,4163400,5626000,688700,1591100,2541500,551214,2822000,88362000,87261000,1561700,4760400,11394400,8856200,5740900,3895200,7520700,1416900,1939100,6277500,73018000,3504197,13704300,1232400,4759600,1246900,17620865,4079700,613500,3326700,2401000,7571501,876000,1358300,6424900,461500
2018-02-26,152648800,30199800,30912000,17599700,469312000,2418700,5418900,26992300,42265200,27771100,28878000,5496100,27374300,14822200,41966100,4943600,6394400,552300,1779300,1448300,657714,3839200,99100000,65100000,1852400,5355400,8713800,12241500,7520500,3428200,7130700,1380600,814600,5533000,102686000,3213500,20032500,1480800,4886400,1711500,15872265,4472100,770200,3078900,2088200,7464528,669000,957800,5273800,480100
2018-02-27,155712400,25869100,42964000,15849800,455436000,2330800,5908200,43624100,55975300,27419300,21176000,5311900,14326000,13102700,44731100,5016100,6748100,935100,1635800,1697400,692358,6127600,96176000,71961000,2170400,6385800,8821400,11704100,5412100,5610000,8862000,1949400,1005700,4289500,94165000,3429696,21040200,1057800,5343600,2121700,73836400,4245400,946400,4395700,3678000,9441769,823100,965200,7301700,422100
2018-02-28,151128400,31167300,49292000,18783000,523116000,2356900,9684400,35541200,43387500,26885200,28834000,7333000,9582100,13152700,45031400,4544000,7559500,840300,2055500,1742400,752804,7340400,90300000,91045500,2179800,4638900,11541100,11833000,6193000,8717000,10799500,1839600,975200,8517000,76535000,3906591,29800500,2066400,7005200,2474500,74496340,4176200,1065700,3958600,2935300,10658004,1021200,1435500,15919600,730700
2018-03-01,195208000,37135600,55338000,23201600,1040120000,2632200,15555500,36326600,63207400,32154300,26044000,8626600,10799200,17330200,61278800,11757800,8267500,923300,2028700,2339200,768841,4896000,136704000,103284000,2447700,6896300,11127600,8331200,5209600,29378800,8443300,2775000,469900,9498500,119321000,5121298,40043100,1788000,11552800,2770000,36830279,5373200,1363500,4228700,3568000,7344237,1080000,1001800,12073200,683500
2018-03-02,153816000,32830400,50162000,20025900,913428000,2624700,10627500,33310600,58123500,28848100,27402000,6476300,10612700,15719300,52492900,19115500,6625500,909500,2111900,1511900,890454,3498000,131752000,76392000,2275900,4903600,11555100,10029800,4820800,13276400,9426200,1638000,560200,9912500,133453000,3768105,33687000,2177700,8629200,1549700,30788178,5207900,1986300,4515100,4418700,7486540,960900,872600,8730800,540100
2018-03-05,113605600,23901600,28648000,16189300,620776000,2111800,10121300,30826500,43734800,22101700,25900000,4417200,15445500,13326700,70984100,15187800,10483300,746200,1882400,904300,559129,3415200,104678000,57357000,2155800,3781700,7835400,7365100,3910800,12898800,6653000,1737900,600000,7842000,189861000,3763788,28975800,1768800,12583200,1773000,31219780,3381000,2740400,4149200,2720200,7969669,968200,1712600,10946000,644000
2018-03-06,95154000,22175800,23382000,15086800,636808000,2169000,8154800,39132300,46751200,21930000,30030000,4109600,23450400,23269600,73096300,18446500,7919400,716700,2176800,881700,617108,6800800,91234000,64285500,2458700,3380800,8046800,9352600,3539400,7624000,7477800,1753800,812200,9749000,185258000,3080660,23304000,1924500,9447600,1631000,21121478,3791900,1188300,4723800,3507700,9160668,1062000,1819600,9352600,648200
2018-03-07,126814000,26716100,30748000,19097300,581208000,2795100,6750400,31801900,127603200,22034400,31549000,4637600,12602400,17284000,61670000,7009900,6715200,599300,1215800,1404900,841212,5799600,83482000,75109500,5157100,4612600,7044100,20757100,3316500,6095600,5546700,2318400,565800,8776500,171322000,4411270,16532400,2662500,10020000,1603000,26820646,6485500,1058900,3444300,3071000,6834890,1225700,2011700,8588900,474200
