Date,KLAC,LRCX,SNPS,CDNS,PANW,MRVL,NXPI,IDXX,ALNY,INCY,HOLX,EXAS,BMRN,LULU,ROST,EBAY,ORLY,DLTR,MS,BX,MCO,MSCI,VRSK,EXPD,CSGP,POOL,CCOI,IRDM,SIRI,EVRG,NWE,MSEX,MTDR,RRC,AR
2018-03-21,1456700,35675000,647500,3148100,5017800,5938400,3147300,415300,486600,1232500,2749605,1416392,1366200,1685800,2365900,7658100,9444000,3464400,8676000,2304500,535100,1238100,466800,885100,1815000,138700,156900,477800,1509470,728700,234500,22300,980900,10035700,2920100
2018-03-22,1631900,32495000,821200,2117500,5036400,6817200,3138300,537000,414200,2011000,3299273,2595932,1235000,1706400,2540400,10974100,14572500,4472800,14900500,14648300,770100,1155100,1119100,1512900,1900000,295700,181200,539200,1437110,1155000,371000,65200,845900,6659000,2492500
2018-03-23,2171500,52235000,783200,2306500,5683200,6876500,2174700,603300,741600,1246400,1934884,2543046,1604600,2183200,2330900,9244800,12957000,2707700,16707800,8658600,990300,1062200,660900,1425700,2988000,305700,267500,759100,1738060,837300,344000,51700,998000,5731300,2659500
2018-03-26,2100900,34588000,888700,2939400,6232800,6215800,3412800,563300,911300,1137700,2703802,1906822,1546200,2603700,2046600,9796900,13308000,2648500,11913700,5121400,552400,1152500,605100,1224100,2131000,187300,247100,498400,1623400,536400,643300,61800,953700,5606200,3242600
2018-03-27,1477600,42923000,1023600,2122500,9269400,7224900,3367900,492300,844200,1646800,2434541,3031077,1192400,4006500,3371800,11795600,13411500,1522400,12389400,4640500,789100,902200,962600,1005400,2203000,218700,228100,547200,1967520,809600,272400,37300,1487600,6523700,2948200
2018-03-28,1492800,35239000,1187100,2183400,8838600,10366000,11205000,616600,863900,1685400,2445007,3038207,1132100,10706800,2774600,14336500,10105500,1983400,11262300,3437300,784100,929200,448600,715000,2116000,200400,199600,948100,1676870,705000,371700,38900,950200,7139900,2864800
2018-03-29,1123000,35782000,1202200,3697000,7071600,8751900,4969400,723000,3171100,1592500,3060376,2728356,1099500,4849400,3247500,13438300,10714500,2357800,7349200,3338300,856900,2122000,1275400,1290300,1867000,212700,275700,657200,1810630,701100,637300,76200,1140900,7081500,4205600
2018-04-02,1394800,35505000,1126400,2274800,7750800,7141200,4566100,479200,5781600,1736700,2113416,2360044,1501000,3080800,3098400,7721400,18102000,2603300,9311000,15034200,969700,1133700,1006400,968800,1254000,297500,193800,847800,1668270,617800,434500,75300,1015500,7856500,2924900
2018-04-03,1280800,26824000,863900,2787700,8245200,8575200,3379900,604600,2497400,1073300,4367921,2221817,1033800,1974000,2277100,9671700,11356500,1790200,10335800,4502600,862300,22350100,887000,1640600,1935000,275200,238200,652400,1454220,584200,381700,79900,1229900,5153000,2479100
2018-04-04,1129100,36997000,1080300,2475700,12882000,7086500,4889200,421200,1946000,1184200,3875243,2025344,863600,2757400,2763400,10205800,12001500,1938200,6692100,4794600,722900,2486300,848900,1717300,2728000,259200,227000,585100,1606010,677100,372400,48300,932900,7545900,2226400
2018-04-05,1659900,35339000,729700,2762700,18293400,11740800,4686700,363600,1468100,1216500,4651624,2722521,783200,3138500,2206000,6190800,9511500,2853400,9968200,3788800,437700,1022300,805300,1631100,2203000,304000,198500,467800,978180,784300,351700,58000,1548300,9321500,2128300
2018-04-06,1664300,31239000,1207000,3395900,12187200,8925100,3927500,403600,1958500,26083800,2194296,2043658,1288600,3203300,3053700,6019700,9928500,3015900,9578500,9307000,684300,1083600,1267300,918000,1087000,208700,383900,756900,1579080,456400,350900,77700,1706600,6188000,4593600
2018-04-09,1506200,26567000,954400,1971200,12150600,5721200,3190800,352700,1094000,7900000,1743564,2211517,1336900,1625900,2097300,7607500,12867000,1642700,8111600,7023800,501800,1211300,964400,990100,1245000,124000,184000,665500,1452930,517500,297100,63800,1355200,5137600,2287900
2018-04-10,1375600,27077000,1026800,2279500,15051600,8781800,6659100,397200,1350300,2882700,1849557,2357889,1224700,939300,1692000,7480300,10225500,2392100,8836300,8355100,681600,860000,1019700,1296500,949000,193300,206400,753000,1804020,479600,452400,58200,1699700,8652600,3243400
2018-04-11,1198600,24498000,975400,1684300,9959400,10306700,4931800,275400,876000,2204500,1991014,1758434,1399600,1606200,2281100,17644400,11949000,1624700,12121200,3466100,671400,1075500,654500,707000,1086000,105300,206700,1232900,1190370,538600,279000,116100,1773100,6885200,2561600
2018-04-12,1176600,30843000,692800,2235600,13211400,7179700,10004100,297200,627500,4386100,3567585,3864848,2314600,1266900,1790600,14002500,11316000,1493400,9315200,2600900,599100,930200,537100,936000,1482000,122300,191900,563300,1160920,717300,386600,66800,1077800,4230900,2958900
2018-04-13,922800,21614000,734900,1212200,6234600,8148100,6605600,301000,577700,2260200,1772968,1863366,1402800,2017700,2426600,7340900,20620500,1649400,12364000,3115200,420600,946900,742300,1465700,1263000,123600,119000,661500,1299760,377200,489900,41300,1121500,5676900,3711900
2018-04-16,1027900,19411000,889100,2106800,5959200,5774000,2488500,291700,1065800,2217000,1241950,1879794,910800,1981600,2146500,6629200,11002500,1727600,7282200,2037900,466300,890100,483500,1379200,2103000,145900,186000,533800,1496610,563800,721900,42500,965800,7373800,2673900
2018-04-17,1376600,60845000,928500,2467900,10683600,4744000,2497600,441800,992000,1718200,3546894,2798346,1036500,2228300,2333700,9474500,13479000,1419200,14505300,5093100,674600,470400,844400,952700,1578000,231600,326500,757800,1328290,424500,458200,51800,887700,6537100,2362200
2018-04-18,1076300,91149000,812900,2632100,6309000,4904000,1512100,260100,695900,1714300,1908437,1755913,1112200,2375800,2308100,19386300,12867000,1705200,17524000,6168500,516100,610500,655600,811300,2875000,333200,436000,557900,970880,492500,377500,46100,1290600,7666800,3847700
2018-04-19,1915500,87734000,901000,2413000,5268600,10528000,12747600,340100,681500,3672500,1377891,1763591,1374000,1532000,2504300,9700700,13972500,1868700,13873700,6229900,596200,503500,586900,1112100,2654000,774000,218900,510100,1987100,486200,347000,45300,1223800,7965600,4215100
2018-04-20,1558800,49807000,1420900,2959900,5822400,8796100,16428000,350800,1285500,3355100,1429665,1224711,2278700,2018800,2308500,13731600,13462500,2376700,10183600,3440100,671100,539200,571400,1055300,1897000,509100,306700,432900,1404540,455400,300800,47700,788600,7419300,4399400
2018-04-23,2002100,34889000,987900,3266900,7219200,5940300,9049400,212200,677200,2620400,1336098,2799676,875600,2778700,2088900,8673100,9648000,2184500,8523600,2976700,671200,524100,589500,730900,3117000,345000,163400,864000,1657200,567500,455800,38700,844700,5776100,2920200
2018-04-24,1815500,50347000,1789100,9009800,8860200,10595000,12601900,430600,948900,7408500,2521796,3425903,907100,2171100,2147100,7316900,16672500,1851800,10742700,6047700,817100,533300,1025800,842100,4564000,345900,237900,773700,2499410,754400,646000,43500,1217100,6644800,3928700
2018-04-25,1605500,31248000,1373300,3961900,6586200,5170800,8249400,324500,707200,3689800,1066012,3807790,1251800,1463400,1600000,11161200,25950000,1519100,12623000,4094500,1049500,717800,642400,782400,3405000,267700,325100,967100,2101520,577300,549600,43600,904000,8160700,3309400
2018-04-26,1674000,36113000,1117000,2979300,4072800,5420900,9264100,401000,607000,3066200,1920310,3754294,1641400,1668700,2224900,21446700,56076000,2998500,14668900,5767800,1904000,489500,934000,701300,2608000,315400,338100,1030000,1457680,479800,554900,114800,1212300,12519300,4745500
2018-04-27,2708700,30448000,858100,2921900,5048400,5506800,10043300,289100,515800,2889900,1062370,7584293,1475300,2035400,2530300,15960100,23268000,1863900,7784500,4419800,1318400,551200,727400,898100,1285000,231400,249800,745600,1461990,269900,496200,43900,1012800,6996100,2702700
2018-04-30,1618100,29902000,1127200,3089300,4200000,5808800,4016300,425500,680400,2863900,2276816,4273131,1783300,1497100,3049900,10620400,18589500,1749700,8209700,5004100,742800,874400,821600,1101100,2589000,224800,256700,835200,1094970,459500,424600,38000,1187300,8188200,4016700
2018-05-01,1357300,28337000,643200,2274700,3352200,4686700,5134100,447700,1270400,2842100,2402175,2496345,1442800,1299800,2488300,7301900,12643500,1373300,8498300,6258000,804500,563400,1314600,729000,1915000,252300,455200,870700,1135780,400900,422200,41700,943700,6448200,2393300
2018-05-02,1103100,21948000,988800,2471300,7999200,4952400,5151800,617100,1297700,3522900,2529546,1463665,1647800,1244500,2305900,11027800,12447000,1524800,8931000,2268300,787200,1094300,3128200,1363700,1451000,209700,558000,650200,1529830,750000,452700,33100,1287900,5307800,2351800
2018-05-03,1038000,21815000,1160300,2312500,6521400,19888800,31709000,553100,922800,2674900,9653131,1964093,770300,1442900,2111100,8942700,9199500,1124700,11438000,7501800,781500,1318800,2234500,801800,2201000,301900,441200,504600,2511490,753200,410500,27200,1889500,7054100,4598800
2018-05-04,1334800,32827000,503400,2009900,4832400,7676200,15639000,939700,2877500,2721100,4731319,1862177,1480500,3797600,3237900,6359300,9931500,2933400,10368700,5137700,621100,597900,1586100,794500,1754000,269400,332300,334200,3070680,540900,311400,26000,1330100,5431700,2978800
2018-05-07,1188400,33047000,982500,2967100,4331400,7353400,3710500,804500,1099400,2739800,4107078,1859199,1195400,2420900,2547500,6773700,11670000,2308800,6576100,5978200,450000,606800,911000,1521300,1881000,142000,284400,779700,1836800,503200,456100,26800,2276900,8691800,2890400
2018-05-08,1160300,21481000,1307600,3765300,8778000,6513700,3644500,544400,1698200,1698900,2501232,1792030,878800,1006800,3401700,8953000,11866500,1944700,11578100,3944300,579200,696700,1120100,4637100,1656000,283100,217300,859000,1663400,853800,456400,36800,1814400,6210600,3579800
2018-05-09,1146400,23909000,843200,1586700,10797600,4133000,2425400,293000,593600,2320900,2210994,1174945,1043400,919200,2039600,9597500,15045000,1923200,7114800,4711200,585000,436200,759600,2185000,1108000,454000,181600,866200,1956690,750200,320500,98100,2004100,8204000,3857900
2018-05-10,708100,18903000,1020000,3097400,5607000,3870600,2832200,427600,909600,3171800,2972722,1116998,2356100,1167600,2021700,7215500,7606500,2737900,8208600,2668200,752600,520600,683600,1392100,1345000,268700,249700,522100,1859630,679900,249200,67100,1070400,4639600,2229900
2018-05-11,950100,19455000,1050800,1911700,5384400,6122500,2280500,328700,856800,2474200,1828733,1205720,1862600,910600,1775500,7455900,10864500,3140200,6063100,3037300,871900,706400,734500,1519900,1190000,258700,421000,737800,1145990,507000,244200,23300,762400,4912700,1741100
2018-05-14,1513500,33437000,805500,3880000,6760200,13913800,23168000,230500,1297200,2314800,2119755,1072002,1173900,1508100,1766900,7462800,12624000,2659500,5816000,3180900,617800,863600,580400,1298400,1057000,203100,276000,780500,962510,789700,331800,53200,816500,4548900,2156300
2018-05-15,1364000,19214000,977000,3196700,5845200,6289400,9077200,361200,792300,1883900,2382159,1359972,820800,1135900,2497900,6747200,11023500,2293500,7523400,3682500,540500,583700,709900,1315800,1853000,226600,418000,696800,1363990,538300,400100,76600,7018100,5498100,1741800
2018-05-16,1157200,22545000,851100,2787000,4880400,5405000,9651200,1559100,972500,2118200,2009784,1222176,690300,1430100,2288200,11002600,9241500,2716000,4517700,3019000,742000,400700,766200,1051700,2049000,156900,415900,1035200,2133610,528900,241600,39200,2978600,6999000,2327600
2018-05-17,1309700,26077000,813700,2409100,5071200,7937100,8530900,887400,865700,1747700,1967661,832821,725700,1106700,2016500,6370400,10384500,1526700,4576800,2078400,463700,410500,751300,923000,2192000,163200,243200,954700,1419300,651800,432000,32300,1922300,8358000,2427900
2018-05-18,2021900,52501000,2569900,2664100,4620600,8304100,12282700,539100,731500,1768600,1408602,1300080,803300,1684800,3649700,6736600,7815000,3067700,6702400,1741700,694000,843600,2472900,867200,2036000,201200,225800,691600,1549900,766200,503200,38400,1530300,9120500,2549800
2018-05-21,1281000,25346000,697100,2083500,9798000,7312000,9542100,432000,616700,1247900,1247576,2510727,962500,1864800,3733500,6599200,9804000,2085300,5901700,3361300,1059200,505400,612200,1239400,1779000,170500,172800,732400,1226680,481300,365600,29800,1645900,9095700,2251000
2018-05-22,1335900,27788000,713100,3104900,6457200,6113300,13172900,375100,544300,1068600,1122059,1290425,3827900,1806900,3694600,9142200,17035500,2533100,5930400,5244600,773400,477500,549300,1172200,1806000,311900,266000,2445700,1459880,521600,313500,37700,1283800,9516600,2370400
